Date,Description,Debit,Credit,Balance
01/01/2026,ACH C- COMPANY SALARY OCT,0.0,65000.0,115000.0
01/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,717.3,0.0,114282.7
02/01/2026,UPI-ZOMATO-ORDER-1120@icici,184.59,0.0,114098.11
03/01/2026,UPI-UBER-RIDE-0021@okaxis,412.42,0.0,113685.69
03/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,763.35,0.0,112922.34
04/01/2026,UPI-UBER-RIDE-0021@okaxis,752.11,0.0,112170.23
04/01/2026,UPI-UBER-RIDE-0021@okaxis,612.68,0.0,111557.55
05/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,308.83,0.0,111248.72
06/01/2026,UPI-AMAZON-PAY-8831@apl,150.32,0.0,111098.4
07/01/2026,UPI-UBER-RIDE-0021@okaxis,283.32,0.0,110815.07999999999
08/01/2026,UPI-RAMESH-STORES-9842@ybl,655.22,0.0,110159.85999999999
09/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,239.4,0.0,109920.45999999999
10/01/2026,UPI-ZOMATO-ORDER-1120@icici,324.18,0.0,109596.28
10/01/2026,UPI-AMAZON-PAY-8831@apl,404.28,0.0,109192.0
11/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,635.43,0.0,108556.57
11/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,733.13,0.0,107823.44
12/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,793.45,0.0,107029.99
13/01/2026,UPI-RAMESH-STORES-9842@ybl,686.03,0.0,106343.96
13/01/2026,UPI-RAMESH-STORES-9842@ybl,301.4,0.0,106042.56000000001
14/01/2026,UPI-ZOMATO-ORDER-1120@icici,180.29,0.0,105862.27000000002
14/01/2026,UPI-UBER-RIDE-0021@okaxis,565.15,0.0,105297.12000000002
15/01/2026,UPI-AMAZON-PAY-8831@apl,466.25,0.0,104830.87000000002
15/01/2026,UPI-UBER-RIDE-0021@okaxis,335.6,0.0,104495.27000000002
16/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,621.18,0.0,103874.09000000003
17/01/2026,UPI-RAMESH-STORES-9842@ybl,438.15,0.0,103435.94000000003
17/01/2026,UPI-AMAZON-PAY-8831@apl,617.99,0.0,102817.95000000003
18/01/2026,UPI-UBER-RIDE-0021@okaxis,785.62,0.0,102032.33000000003
18/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,365.1,0.0,101667.23000000003
19/01/2026,UPI-UBER-RIDE-0021@okaxis,375.87,0.0,101291.36000000003
20/01/2026,UPI-RAMESH-STORES-9842@ybl,550.7,0.0,100740.66000000003
20/01/2026,UPI-AMAZON-PAY-8831@apl,429.12,0.0,100311.54000000004
21/01/2026,UPI-UBER-RIDE-0021@okaxis,714.38,0.0,99597.16000000003
21/01/2026,UPI-UBER-RIDE-0021@okaxis,768.91,0.0,98828.25000000003
22/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,169.39,0.0,98658.86000000003
23/01/2026,UPI-RAMESH-STORES-9842@ybl,312.14,0.0,98346.72000000003
23/01/2026,UPI-AMAZON-PAY-8831@apl,503.19,0.0,97843.53000000003
24/01/2026,UPI-AMAZON-PAY-8831@apl,589.45,0.0,97254.08000000003
24/01/2026,UPI-RAMESH-STORES-9842@ybl,591.86,0.0,96662.22000000003
25/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,309.09,0.0,96353.13000000003
25/01/2026,UPI-UBER-RIDE-0021@okaxis,314.8,0.0,96038.33000000003
26/01/2026,UPI-ZOMATO-ORDER-1120@icici,516.78,0.0,95521.55000000003
27/01/2026,UPI-AMAZON-PAY-8831@apl,654.16,0.0,94867.39000000003
28/01/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,253.62,0.0,94613.77000000003
29/01/2026,UPI-ZOMATO-ORDER-1120@icici,693.05,0.0,93920.72000000003
29/01/2026,UPI-RAMESH-STORES-9842@ybl,455.45,0.0,93465.27000000003
30/01/2026,UPI-AMAZON-PAY-8831@apl,677.75,0.0,92787.52000000003
31/01/2026,UPI-AMAZON-PAY-8831@apl,628.85,0.0,92158.67000000003
01/02/2026,ACH C- COMPANY SALARY OCT,0.0,65000.0,157158.67000000004
01/02/2026,UPI-ZOMATO-ORDER-1120@icici,218.93,0.0,156939.74000000005
02/02/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,438.63,0.0,156501.11000000004
02/02/2026,UPI-UBER-RIDE-0021@okaxis,153.25,0.0,156347.86000000004
03/02/2026,UPI-ZOMATO-ORDER-1120@icici,328.67,0.0,156019.19000000003
03/02/2026,UPI-ZOMATO-ORDER-1120@icici,569.29,0.0,155449.90000000002
04/02/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,589.09,0.0,154860.81000000003
04/02/2026,UPI-ZOMATO-ORDER-1120@icici,185.12,0.0,154675.69000000003
05/02/2026,UPI-AMAZON-PAY-8831@apl,597.7,0.0,154077.99000000002
06/02/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,517.48,0.0,153560.51
06/02/2026,UPI-ZOMATO-ORDER-1120@icici,267.59,0.0,153292.92
07/02/2026,UPI-AMAZON-PAY-8831@apl,677.09,0.0,152615.83000000002
08/02/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,665.09,0.0,151950.74000000002
